date time,date,time,seconds since 1970,Humidity,Water_Temperature,Air_Temperature,Air_Pressure
2020-12-02T07:40:00+1000,02-12-2020,07:40:00,1.61E+09,78.8,27.21,27.2,1013.3
2020-12-02T07:50:00+1000,02-12-2020,07:50:00,1.61E+09,79.3,27.21,27.2,1013.3
2020-12-02T08:00:00+1000,02-12-2020,08:00:00,1.61E+09,78.1,27.21,27.1,1013.4
2020-12-02T08:10:00+1000,02-12-2020,08:10:00,1.61E+09,78.2,27.21,27.2,1013.4
2020-12-02T08:20:00+1000,02-12-2020,08:20:00,1.61E+09,78.4,27.21,27.2,1013.4
2020-12-02T08:30:00+1000,02-12-2020,08:30:00,1.61E+09,77.2,27.2,27.1,1013.6
2020-12-02T08:40:00+1000,02-12-2020,08:40:00,1.61E+09,78.4,27.19,27.2,1013.6
2020-12-02T08:50:00+1000,02-12-2020,08:50:00,1.61E+09,76.8,27.19,27.1,1013.6
2020-12-02T09:00:00+1000,02-12-2020,09:00:00,1.61E+09,77.1,27.21,27.2,1013.7
2020-12-02T09:10:00+1000,02-12-2020,09:10:00,1.61E+09,76.8,27.21,27.2,1013.6
2020-12-02T09:20:00+1000,02-12-2020,09:20:00,1.61E+09,76.8,27.21,27.3,1013.6
2020-12-02T09:30:00+1000,02-12-2020,09:30:00,1.61E+09,75.2,27.19,27.2,1013.7
2020-12-02T09:40:00+1000,02-12-2020,09:40:00,1.61E+09,74.5,27.22,27.3,1013.7
2020-12-02T09:50:00+1000,02-12-2020,09:50:00,1.61E+09,75.1,27.22,27.3,1013.7
2020-12-02T10:00:00+1000,02-12-2020,10:00:00,1.61E+09,75.9,27.2,27.3,1013.8
2020-12-02T10:10:00+1000,02-12-2020,10:10:00,1.61E+09,76.3,27.21,27.4,1013.7
2020-12-02T10:20:00+1000,02-12-2020,10:20:00,1.61E+09,77.1,27.21,27.4,1013.6
2020-12-02T10:30:00+1000,02-12-2020,10:30:00,1.61E+09,76.3,27.22,27.4,1013.7
2020-12-02T10:40:00+1000,02-12-2020,10:40:00,1.61E+09,76.3,27.22,27.3,1013.6
2020-12-02T10:50:00+1000,02-12-2020,10:50:00,1.61E+09,74.7,27.25,27.3,1013.5
2020-12-02T11:00:00+1000,02-12-2020,11:00:00,1.61E+09,76.2,27.25,27.3,1013.4
2020-12-02T11:10:00+1000,02-12-2020,11:10:00,1.61E+09,76.1,27.25,27.4,1013.4
2020-12-02T11:20:00+1000,02-12-2020,11:20:00,1.61E+09,76.9,27.25,27.4,1013.4
2020-12-02T11:30:00+1000,02-12-2020,11:30:00,1.61E+09,75.4,27.26,27.4,1013.2
2020-12-02T11:40:00+1000,02-12-2020,11:40:00,1.61E+09,75.6,27.31,27.3,1013.1
2020-12-02T11:50:00+1000,02-12-2020,11:50:00,1.61E+09,74.8,27.35,27.3,1013.1
2020-12-02T12:00:00+1000,02-12-2020,12:00:00,1.61E+09,75.7,27.34,27.3,1013.1
2020-12-02T12:10:00+1000,02-12-2020,12:10:00,1.61E+09,75.5,27.35,27.4,1013.1
2020-12-02T12:20:00+1000,02-12-2020,12:20:00,1.61E+09,74.9,27.41,27.3,1013
2020-12-02T12:30:00+1000,02-12-2020,12:30:00,1.61E+09,74.4,27.41,27.3,1012.9
2020-12-02T12:40:00+1000,02-12-2020,12:40:00,1.61E+09,74.9,27.41,27.3,1012.7
2020-12-02T12:50:00+1000,02-12-2020,12:50:00,1.61E+09,75.8,27.41,27.4,1012.6
2020-12-02T13:00:00+1000,02-12-2020,13:00:00,1.61E+09,76.4,27.41,27.3,1012.4
